model,mpg,hp,Peso_Toneladas
Mazda RX4,21.0,110,1.179
Mazda RX4 Wag,21.0,110,1.29375
Datsun 710,22.8,93,1.044
Hornet 4 Drive,21.4,110,1.44675
Hornet Sportabout,18.7,175,1.548
Valiant,18.1,105,1.557
Duster 360,14.3,245,1.6065
Merc 240D,24.4,62,1.4355
Merc 230,22.8,95,1.4175
Merc 280,19.2,123,1.548
Merc 280C,17.8,123,1.548
Merc 450SE,16.4,180,1.8315000000000001
Merc 450SL,17.3,180,1.6785
Merc 450SLC,15.2,180,1.7009999999999998
Cadillac Fleetwood,10.4,205,2.3625000000000003
Lincoln Continental,10.4,215,2.4408000000000003
Chrysler Imperial,14.7,230,2.40525
Fiat 128,32.4,66,0.9900000000000001
Honda Civic,30.4,52,0.72675
Toyota Corolla,33.9,65,0.82575
Toyota Corona,21.5,97,1.10925
Dodge Challenger,15.5,150,1.584
AMC Javelin,15.2,150,1.54575
Camaro Z28,13.3,245,1.728
Pontiac Firebird,19.2,175,1.73025
Fiat X1-9,27.3,66,0.87075
Porsche 914-2,26.0,91,0.9630000000000001
Lotus Europa,30.4,113,0.68085
Ford Pantera L,15.8,264,1.4265
Ferrari Dino,19.7,175,1.2465
Maserati Bora,15.0,335,1.6065
Volvo 142E,21.4,109,1.251
